department                 project                          name                          license period  material / not material  license type              link                                                                  comment
----------                 -------                          ----                          --------------  -----------------------  ------------              ----                                                                  -------
salesforce-marketingcloud  sfmc-example-jb-custom-activity  @salesforce-ux/design-system  perpetual       material                 SEE LICENSE IN README.md  git+ssh://git@github.com/salesforce-ux/design-system.git              2.8.1
salesforce-marketingcloud  sfmc-example-jb-custom-activity  body-parser                   perpetual       material                 MIT                       git+https://github.com/expressjs/body-parser.git                      1.19.0
salesforce-marketingcloud  sfmc-example-jb-custom-activity  express                       perpetual       material                 MIT                       git+https://github.com/expressjs/express.git                          4.16.3
salesforce-marketingcloud  sfmc-example-jb-custom-activity  postmonger                    perpetual       material                 BSD-3-Clause              git+ssh://git@github.com/kevinparkerson/postmonger.git                0.0.16
salesforce-marketingcloud  sfmc-example-jb-custom-activity  serve-static                  perpetual       material                 MIT                       git+https://github.com/expressjs/serve-static.git                     1.14.1
salesforce-marketingcloud  sfmc-example-jb-custom-activity  @babel/core                   perpetual       material                 MIT                       https://github.com/babel/babel/tree/master/packages/babel-core        7.9.6
salesforce-marketingcloud  sfmc-example-jb-custom-activity  @babel/preset-env             perpetual       material                 MIT                       https://github.com/babel/babel/tree/master/packages/babel-preset-env  7.9.6
salesforce-marketingcloud  sfmc-example-jb-custom-activity  babel-loader                  perpetual       material                 MIT                       git+https://github.com/babel/babel-loader.git                         8.1.0
salesforce-marketingcloud  sfmc-example-jb-custom-activity  concurrently                  perpetual       material                 MIT                       git+https://github.com/kimmobrunfeldt/concurrently.git                5.2.0
salesforce-marketingcloud  sfmc-example-jb-custom-activity  copy-webpack-plugin           perpetual       material                 MIT                       git+https://github.com/webpack-contrib/copy-webpack-plugin.git        5.1.1
salesforce-marketingcloud  sfmc-example-jb-custom-activity  version-bump-prompt           perpetual       material                 MIT                       git+https://github.com/JS-DevTools/version-bump-prompt.git            6.0.3
salesforce-marketingcloud  sfmc-example-jb-custom-activity  webpack                       perpetual       material                 MIT                       git+https://github.com/webpack/webpack.git                            4.43.0
salesforce-marketingcloud  sfmc-example-jb-custom-activity  webpack-cli                   perpetual       material                 MIT                       git+https://github.com/webpack/webpack-cli.git                        3.3.11
